address,district,rooms,size,level,max_levels,price,lat,lng,price_per_sqm
"город Ташкент, Yunusobod район, Юнусабад 8-й квартал",Yunusobod,3,57.0,4,4,52000,41.3714709,69.2810486,912.280701754386
"город Ташкент, Yakkasaroy район, 1-й тупик Шота Руставели",Yakkasaroy,2,52.0,4,5,56000,41.2911155,69.2611035,1076.923076923077
"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",Chilonzor,2,42.0,4,4,37000,41.2807837,69.223683,880.952380952381
"город Ташкент, Chilonzor район, Чиланзар 9-й квартал",Chilonzor,3,65.0,1,4,49500,41.2901628,69.1968618,761.5384615384615
"город Ташкент, Chilonzor район, площадь Актепа",Chilonzor,3,70.0,3,5,55000,41.3001561,69.2108312,785.7142857142857
"город Ташкент, Chilonzor район, Чиланзар 6-й квартал",Chilonzor,1,28.0,1,4,25500,41.2857552,69.2117625,910.7142857142857
"город Ташкент, Chilonzor район, Чиланзар-16",Chilonzor,1,30.0,2,4,21200,41.274633,69.200587,706.6666666666666
"город Ташкент, Yakkasaroy район, Саламатина",Yakkasaroy,2,32.0,5,5,20000,41.2820131,69.2431373,625.0
"город Ташкент, Uchtepa район, Чиланзар-21",Uchtepa,2,51.0,3,4,26200,41.2924208,69.1737654,513.7254901960785
"город Ташкент, Chilonzor район, Чиланзар-8",Chilonzor,1,30.0,1,4,22200,41.2894422,69.2058023,740.0
"город Ташкент, Uchtepa район, Чиланзар-14",Uchtepa,2,30.0,2,5,24200,41.2962523,69.1909015,806.6666666666666
"город Ташкент, Chilonzor район, Чиланзар-20",Chilonzor,3,67.0,2,5,30200,41.259418,69.1804708,450.74626865671644
"город Ташкент, Chilonzor район, Чиланзар-17",Chilonzor,1,30.0,2,4,21200,41.271386,69.1961168,706.6666666666666
"город Ташкент, Chilonzor район, Чиланзар-16",Chilonzor,1,30.0,2,4,21200,41.274633,69.200587,706.6666666666666
"город Ташкент, Chilonzor район, Чиланзар-19",Chilonzor,1,30.0,2,4,21200,41.2710841,69.1849411,706.6666666666666
"город Ташкент, Chilonzor район, Чиланзар-19",Chilonzor,1,35.0,1,5,22500,41.2710841,69.1849411,642.8571428571429
"город Ташкент, Chilonzor район, Г9а",Chilonzor,1,43.0,4,4,22500,41.259418,69.1804708,523.2558139534884
"город Ташкент, Chilonzor район, Чиланзар-7",Chilonzor,2,51.0,2,4,21200,41.2948119,69.2087824,415.6862745098039
"город Ташкент, Mirzo Ulugbek район, Феруза",Mirzo Ulugbek,3,65.0,1,4,32500,41.3576548,69.3675816,500.0
"город Ташкент, Chilonzor район, Чиланзар-17",Chilonzor,2,51.0,2,4,22200,41.271386,69.1961168,435.29411764705884
"город Ташкент, Chilonzor район, Чиланзар-9",Chilonzor,2,51.0,2,4,24200,41.2901628,69.1968618,474.5098039215686
"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,4,90.0,5,5,45000,41.2673079,69.2415634,500.0
"город Ташкент, Chilonzor район, 1-й проезд Заргарлик",Chilonzor,4,80.0,3,4,56000,41.2769954,69.1962495,700.0
"город Ташкент, Yashnobod район, Садыка Азимова (Жуковского) ",Yashnobod,2,70.0,5,5,47000,41.3052221,69.2898134,671.4285714285714
"город Ташкент, Mirzo Ulugbek район, ТТЗ-4",Mirzo Ulugbek,3,69.0,1,4,49900,41.3619703,69.3875774,723.1884057971015
"город Ташкент, Mirobod район, Афросиёб",Mirobod,3,80.0,2,4,76000,41.3035042,69.2680561,950.0
"город Ташкент, Uchtepa район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Uchtepa,3,96.0,3,4,65000,41.2902787,69.1839655,677.0833333333334
"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",Uchtepa,4,76.0,4,4,47500,41.2770171,69.1909015,625.0
"город Ташкент, Uchtepa район, Чиланзар 13-й квартал",Uchtepa,2,45.0,4,5,30000,41.290141,69.1871763,666.6666666666666
"город Ташкент, Chilonzor район, Чиланзар 5-й квартал",Chilonzor,1,27.0,3,4,32000,41.2916859,69.2177228,1185.1851851851852
"город Ташкент, Uchtepa район, Чиланзар 30-й квартал",Uchtepa,2,65.0,3,9,44000,41.2978921,69.1804708,676.9230769230769
"город Ташкент, Chilonzor район, Чиланзар 2-й квартал",Chilonzor,2,64.0,3,4,56500,41.2807837,69.223683,882.8125
"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",Chilonzor,1,42.0,5,9,35000,41.2948119,69.2087824,833.3333333333334
"город Ташкент, Chilonzor район, Чиланзар 7-й квартал",Chilonzor,1,26.0,2,4,23500,41.2948119,69.2087824,903.8461538461538
"город Ташкент, Uchtepa район, Чиланзар 26-й квартал",Uchtepa,4,76.0,5,5,60500,41.2771751,69.1789807,796.0526315789474
"город Ташкент, Chilonzor район, Чиланзар квартал 20Д",Chilonzor,3,80.0,2,4,68000,41.2657122,69.1819609,850.0
"город Ташкент, Chilonzor район, 1-й проезд Лутфи",Chilonzor,3,72.0,5,5,41500,41.2985011,69.2029128,576.3888888888889
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,4,100.0,3,12,55000,41.2978921,69.1804708,550.0
"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",Uchtepa,3,65.0,4,4,44000,41.2770171,69.1909015,676.9230769230769
"город Ташкент, Uchtepa район, Чиланзар 11-й квартал",Uchtepa,4,80.0,3,4,52500,41.2770171,69.1909015,656.25
"город Ташкент, Uchtepa район, Чиланзар 31-й квартал",Uchtepa,3,72.0,6,9,43000,41.2978921,69.1804708,597.2222222222222
"город Ташкент, Mirobod район, Тараса Шевченко",Mirobod,2,65.0,1,4,80000,41.2991561,69.2785087,1230.7692307692307
"город Ташкент, Yakkasaroy район, Кушбеги",Yakkasaroy,2,63.0,1,5,42000,41.2673079,69.2415634,666.6666666666666
